FYE,Assumption,6% Constant,Recession,Recurring Recession
2019,0.5400388633299753,0.5400388633299753,0.5400388633299753,0.5400388633299753
2020,0.50502860621178,0.50502860621178,0.50502860621178,0.50502860621178
2021,0.6089368530616434,0.6089368530616434,0.6089368530616434,0.6089368530616434
2022,0.6061310297099329,0.6004212396022406,0.42468251634571064,0.42468251634571064
2023,0.6220647593990837,0.610324539387781,0.44960912991092333,0.44960912991092333
2024,0.6419047093505127,0.6237653432424508,0.47969565258636165,0.47969565258636165
2025,0.6624296724395782,0.6374801033656234,0.5141096058609097,0.5141096058609097
2026,0.6837129332797875,0.6515114079865869,0.5240433324648192,0.5240433324648192
2027,0.705834217785925,0.6659050390820916,0.5341034692241374,0.5341034692241374
2028,0.7288806825136637,0.6807105236678029,0.5464491239959087,0.5464491239959087
2029,0.7529480561861694,0.6959817636380223,0.5569343807697315,0.5569343807697315
2030,0.7781419653219548,0.7117777613568025,0.5676521766311726,0.5676521766311726
2031,0.8045358874057259,0.728111886792638,0.5785741510947006,0.5785741510947006
2032,0.8323081710367966,0.7451104286173599,0.589813324681617,0.589813324681617
2033,0.8615672188161531,0.7628051180740936,0.6013514448080522,0.6013514448080522
2034,0.8924852576086628,0.7812898694217255,0.6132431801780321,0.6132431801780321
2035,0.925290334005999,0.800716819478613,0.6256156180863143,0.6256156180863143
2036,0.9579070849146684,0.8211561943424123,0.6384708012098479,0.6384708012098479
2037,0.9904091257732356,0.842742986793595,0.6518850958103324,0.4604570986786852
2038,1.0228759419047815,0.8656313186584476,0.6659447928471505,0.48801093995302386
2039,1.0460333803714366,0.8899980837013081,0.6807478828240614,0.5180155746652294
2040,1.070112940281286,0.913665807642568,0.6964060867769177,0.5508177786978851
2041,1.0960768976505946,0.9366750982531111,0.7131881923999313,0.560176909055443
2042,1.1240557376736635,0.9590597067919465,0.7314317017340253,0.5705098763679659
2043,1.1310404400424754,0.9806828833101924,0.7512947986082752,0.582006782388929
2044,1.138450433858252,1.0014519310790377,0.7730635139676113,0.5950448657877023
2045,1.1461728833194629,0.9912722715697864,0.7969906335510397,0.6099980883809428
2046,1.1541265888197307,0.9806140544602084,0.8230576045713606,0.6269514926521595
2047,1.1621524591553611,0.9947002637114862,0.8513654984598529,0.6461765870347083
2048,1.1701003600219344,0.9859762640698149,0.8818035299050128,0.6677299153793678
2049,1.1778093318183165,0.9757137798939353,0.9141384166613272,0.6915550921308049
2050,1.185116279211622,0.9815467771077182,0.945256478245087,0.7174634703341427
2051,1.1918676588478196,0.9725380851266217,0.9745542252680998,0.7450972543719736
2052,1.1978466910589507,0.9718964776135464,1.0012839118870285,0.7739413362523364
