FYE,FYE.1,FYE.2
0,0,0
0,0,0
0,0,0
0.02056362252278473,0.02056362252278473,0.02056362252278473
0.18234120513613442,0.18234120513613442,0.18234120513613442
0.17282670602599792,0.17651928252487747,0.17973320242390883
0.1632736185522107,0.17144062404605864,0.17967190232416508
0.15258001357570938,0.16657405650412335,0.18018695786600888
0.13762273510987993,0.15966783061024029,0.17884540558423512
0.13008363622616181,0.1584407658879768,0.1867135985970734
0.1230921152595578,0.15791542123896918,0.19222077346603492
0.11735352546982583,0.15790626094260032,0.19670264634129983
0.1137784381867843,0.15763097631817108,0.20156575562168996
0.10608154621352346,0.15891997661283563,0.20441401358714473
0.09857115020801813,0.16034972791140978,0.20599180189318267
0.09560817869996661,0.16221355771380797,0.20973266761299092
0.08961123014604228,0.1626809908186688,0.21570493125170884
0.08361820020005865,0.16135823510173958,0.216931303272457
0.07832083975718825,0.1606901694297552,0.21593161936165928
0.07606592764229367,0.15826046119529658,0.2166728394557434
0.07440618242594921,0.15730063339458766,0.21869127302514013
0.0726309372630561,0.15939058035864798,0.22055704596127182
0.06485710080936566,0.15541440053434205,0.22201552863282653
0.0547342432526672,0.15575800878398177,0.22569204564849127
0.007222063634787419,0.007222063634787419,0.06892863925436934
0.007222063634787418,0.007222063634787418,0.07693163247817211
0.0072220636347874205,0.0072220636347874205,0.08169648403192294
0.0072220636347874205,0.0072220636347874205,0.08665400250145709
0.00722206363478742,0.00722206363478742,0.09336629383072348
0.007222063634787419,0.007222063634787419,0.09268949964535397
0.00722206363478742,0.00722206363478742,0.09346300051194525
0.00722206363478742,0.00722206363478742,0.09400441946518502
0.007222063634787419,0.007222063634787419,0.09971222706515431
0.0072220636347874205,0.0072220636347874205,0.09852061594615451
